Symbol,Name,Ind Group Rank,Sector,Industry Name,Current Price,Price % Chg,Price $ Chg,Volume (1000s),Vol % Chg vs 50-Day,EPS Rating,RS Rating,Ind Group RS,SMR Rating,A/D Rating,Comp Rating
ING,I N G Groep Nv Adr,22,BANKS,Banks-Foreign,14.95,-3.1,-0.48,3657,-8.2,74,93,A,C,D,90
WF,Woori Financial Group,22,BANKS,Banks-Foreign,36.52,-3.2,-1.22,27,109.7,82,96,A,C,B+,99
CVS,C V S Health Corp,23,RETAIL,Retail-Drug Stores,108.75,-0.1,-0.1,5824,11.4,69,96,A,C,A,93
H,Hyatt Hotels Corp Cl A,24,LEISURE,Leisure-Lodging,92.81,-0.1,-0.09,680,-7.6,55,93,A,D,B,88
MAR,Marriott International,24,LEISURE,Leisure-Lodging,162.08,0.8,1.21,2135,19.4,74,87,A,C,E,92
BANR,Banner Corporation,25,BANKS,Banks-West/Southwest,60.32,-0.4,-0.26,74,-25.6,88,86,A,C,C,86
BCML,Baycom Corp,25,BANKS,Banks-West/Southwest,21.73,2.5,0.53,25,78,93,93,A,C,A-,91
CATY,Cathay General Bancorp,25,BANKS,Banks-West/Southwest,46.67,0.4,0.2,273,12.8,77,90,A,C,B-,90
CFR,Cullen Frost Bankers Inc,25,BANKS,Banks-West/Southwest,138.8,-1.5,-2.17,412,60.8,63,93,A,C,B+,87
CVCY,Central Valley Comm Banc,25,BANKS,Banks-West/Southwest,22.81,0,0.05,59,136.2,75,89,A,B,B-,90
EWBC,East West Bancorp Inc,25,BANKS,Banks-West/Southwest,85.98,-0.2,-0.21,677,-3.4,87,90,A,A,B-,94
FNWB,First Northwest Bancorp,25,BANKS,Banks-West/Southwest,23,-1.1,-0.25,12,-2.9,93,97,A,B,A,99
HAFC,Hanmi Financial Corp,25,BANKS,Banks-West/Southwest,26.75,-0.4,-0.1,87,-26.9,76,97,A,B,B+,93
NBHC,National Bank Holdings,25,BANKS,Banks-West/Southwest,45.27,0.2,0.09,58,-33.5,67,91,A,C,B-,86
PFBC,Preferred Bank Los Angls,25,BANKS,Banks-West/Southwest,80.3,1.4,1.12,73,34.6,91,95,A,B,C-,91
SPFI,South Plains Financial,25,BANKS,Banks-West/Southwest,28.96,2.2,0.62,13,-24.9,67,93,A,C,B,89
UMPQ,Umpqua Holdings Corp,25,BANKS,Banks-West/Southwest,20.31,-0.4,-0.08,772,-28.3,18,82,A,C,B-,67
WAFD,Washington Federal Inc,25,BANKS,Banks-West/Southwest,34.93,-0.2,-0.08,308,17.1,80,82,A,B,B+,91
ZION,Zions Bancorp NA,25,BANKS,Banks-West/Southwest,68.94,-0.5,-0.37,1035,-2.8,75,94,A,B,B+,93
ANDE,Andersons Inc,26,FOOD/BEV,Food-Grain & Related,37.25,-1.7,-0.7,102,-10.9,69,96,A,C,B+,95
AAPL,Apple Inc,27,TELECOM,Telecom-Consumer Prods,173.05,-1.6,-3,69789,-22.8,94,95,A,A,D,96
AA,Alcoa Corporation,28,MINING,Mining-Metal Ores,62.81,6.1,3.61,7636,14.7,74,99,A,A,B+,97
